Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53489388,"Winter's Fury (Furyck Saga, #1)",A.E. Rayne,"Rayne, A.E.",,"=""1483597342""","=""""",0,4.18,,Kindle Edition,778,2020,2017,,2024/10/18,currently-reading,currently-reading (#3),currently-reading,,,,1,0
17250966,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.61,Tor Books,Kindle Edition,1231,2020,2020,,2024/09/15,currently-reading,currently-reading (#2),currently-reading,,,,1,0
208033237,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.62,Tor Books,Kindle Edition,1242,,2017,2024/09/01,2024/07/22,,,read,,,,1,0
5413,'Salem's Lot,Stephen        King,"King, Stephen",,"=""0385516487""","=""9780385516488""",0,4.10,Doubleday,Hardcover,594,2005,1975,,2016/07/07,,,read,,,,1,0
934309,"Marrakesh, Fez, Rabat",Barnaby Rogerson,"Rogerson, Barnaby",,"=""1860119735""","=""9781860119736""",3,4.00,Cadogan Books,Paperback,,2000,2010,,2016/07/07,,,read,,,,1,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",3,4.18,Bloomsbury Publishing,Paperback,419,2020,2015,,2022/12/12,,,read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",5,4.28,St. Martin's Griffin,Paperback,264,2004,1939,,2022/12/12,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",5,3.70,Penguin Books ,Paperback,182,1999,1954,,2022/12/12,,,read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",5,4.15,Penguin,Paperback,532,2003,1847,,2022/12/12,,,read,,,,1,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",5,4.14,Anchor Books,Paperback,311,1998,1985,,2022/12/12,,,read,,,,1,0
